OTs 1,Y,W,0,0,xxxx,2,2,3,4,3,0,0,0
Langley Manor 1,Y,L,0,0,ttttt,5,6,7,8,10,0,0,0
Langley Manor 2,N,W,0,0,,0,0,0,0,0,0,0,0
Calmore,N,L,0,0,,0,0,0,0,0,0,0,0
R&H,N,W,0,0,,0,0,0,0,0,0,0,0
T&E,N,W,0,0,,0,0,0,0,0,0,0,0
W&P,N,W,0,0,,0,0,0,0,0,0,0,0
OTs 2,N,W,0,0,,0,0,0,0,0,0,0,0
Langley Manor 3,Y,W,0,0,,4,0,0,0,4,0,0,0
Paultons,N,L,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
,N,W,0,0,,0,0,0,0,0,0,0,0
